hex	char	cat	decimal	digit	numeric	name
U+1A99	᪙	Nd	9	9	9.0	TAI THAM THAM DIGIT NINE
U+1B50	᭐	Nd	0	0	0.0	BALINESE DIGIT ZERO
U+1B51	᭑	Nd	1	1	1.0	BALINESE DIGIT ONE
U+1B52	᭒	Nd	2	2	2.0	BALINESE DIGIT TWO
U+1B53	᭓	Nd	3	3	3.0	BALINESE DIGIT THREE
U+1B54	᭔	Nd	4	4	4.0	BALINESE DIGIT FOUR
U+1B55	᭕	Nd	5	5	5.0	BALINESE DIGIT FIVE
U+1B56	᭖	Nd	6	6	6.0	BALINESE DIGIT SIX
U+1B57	᭗	Nd	7	7	7.0	BALINESE DIGIT SEVEN
U+1B58	᭘	Nd	8	8	8.0	BALINESE DIGIT EIGHT
U+1B59	᭙	Nd	9	9	9.0	BALINESE DIGIT NINE
U+1BB0	᮰	Nd	0	0	0.0	SUNDANESE DIGIT ZERO
U+1BB1	᮱	Nd	1	1	1.0	SUNDANESE DIGIT ONE
U+1BB2	᮲	Nd	2	2	2.0	SUNDANESE DIGIT TWO
U+1BB3	᮳	Nd	3	3	3.0	SUNDANESE DIGIT THREE
U+1BB4	᮴	Nd	4	4	4.0	SUNDANESE DIGIT FOUR
U+1BB5	᮵	Nd	5	5	5.0	SUNDANESE DIGIT FIVE
U+1BB6	᮶	Nd	6	6	6.0	SUNDANESE DIGIT SIX
U+1BB7	᮷	Nd	7	7	7.0	SUNDANESE DIGIT SEVEN
U+1BB8	᮸	Nd	8	8	8.0	SUNDANESE DIGIT EIGHT
U+1BB9	᮹	Nd	9	9	9.0	SUNDANESE DIGIT NINE
U+1C40	᱀	Nd	0	0	0.0	LEPCHA DIGIT ZERO
U+1C41	᱁	Nd	1	1	1.0	LEPCHA DIGIT ONE
U+1C42	᱂	Nd	2	2	2.0	LEPCHA DIGIT TWO
U+1C43	᱃	Nd	3	3	3.0	LEPCHA DIGIT THREE
U+1C44	᱄	Nd	4	4	4.0	LEPCHA DIGIT FOUR
